id,title,year,country_or_region,evidence_type,relevance,url,key_note
I01,"Nursing Information Flow in Long-Term Care Facilities",2018,Canada,"Qualitative study","Problem structure","https://pmc.ncbi.nlm.nih.gov/articles/PMC5931917/","Multiple information resources/spaces; all sites retained some paper; less-integrated sites required more navigation and information transfer"
I02,"Does the introduction of an electronic nursing documentation system in a nursing home reduce time on documentation for the nursing staff?",2011,Australia,"Before/after observational study","Digitisation failure mode","https://pubmed.ncbi.nlm.nih.gov/21956002/","Documentation time did not automatically decrease; hybrid paper/electronic workflow persisted"
I03,"Knowledge needs and use in long-term care homes for older people: A qualitative interview study of managers' views",2020,England,"Qualitative study","Knowledge types","https://pubmed.ncbi.nlm.nih.gov/32959473/","Tacit knowledge and practical judgement valued alongside research evidence"
I04,"Acceptance of Digital Technology Among Nursing Staff in Geriatric Long-Term Care: Systematic Review",2026,International,"Systematic review","Implementation conditions","https://pubmed.ncbi.nlm.nih.gov/41538778/","Only 3 eligible studies; usefulness, digital competence, training and organizational support matter"
I05,"Digital Transformation Tech Talk – 19 February 2025 / Uniting GenAI case",2025,Australia,"Provider case via government channel","Authoritative knowledge assistant","https://www.health.gov.au/resources/webinars/digital-transformation-tech-talk-19-february-2025","Pain-first; 441 policies/procedures; no PII; staged security and clinical integration"
I06,"Peterborough City Council: Hey Geraldine, a personalised AI assistant",2024,England,"Local government case report","Internal knowledge assistant","https://www.local.gov.uk/case-studies/peterborough-city-council-hey-geraldine-personalised-ai-assistant","Reported 15 minutes saved per OT conversation and >1,200 test questions; not independent evaluation"
I07,"Bradford Council: Supporting the ASC front door with AI digital assistants",2026,England,"Local government case report","Information/signposting assistant","https://www.local.gov.uk/case-studies/bradford-council-supporting-asc-front-door-ai-digital-assistants","High-volume information demand; governance, DPIA, redaction and privacy design"
I08,"Sharing and Utilization of Tacit Knowledge through Summarization of Nursing Home Case Records using Generative AI with Medical Knowledge",2026,Japan,"Research report bibliographic record","GenAI in nursing-home records","https://jglobal.jst.go.jp/detail?JGLOBAL_ID=202602284267119824","Recent Japan-specific research lead; full methods/results require follow-up"
I09,"Implementation status, difficulties, and barriers to adopting nursing-care technologies in long-term care facilities in Japan: A prefecture-wide cross-sectional survey",2026,Japan,"Cross-sectional survey","Information barrier / adoption","https://pubmed.ncbi.nlm.nih.gov/42706217/","477 facilities; implementation 22.0%; information shortage 55.2% among implementers and 55.7% among non-implementers"
I10,"介護テクノロジー等による生産性向上の取組に関する調査及び効果測定事業 報告書 II/III",2026,Japan,"Official before/after field evaluation","Record/transcription workflow","https://www.mhlw.go.jp/content/12300000/001690572.pdf","Record/document work 43.1→30.4 min and transcription 21.5→8.2 min per normalized 480-min day; n changes 43→36; self-recorded and workflow redesigned"
I11,"介護現場における生産性の向上等を通じた働きやすい職場環境づくりに資する調査研究事業一式",2026,Japan,"Large official provider survey","Digital fragmentation","https://www.mhlw.go.jp/content/12300000/001712213.pdf","Among care-record-software respondents n=3,670, 44.7% reported manual transcription still occurred between records and billing"
I12,"ICT導入支援事業 令和3年度 導入効果報告取りまとめ",2022,Japan,"Official subsidy-recipient self-report","Searchability / information sharing","https://www.mhlw.go.jp/content/12300000/001124036.pdf","n=5,058 reports; 72.4% reported improved past-document searchability and 90.3% easier information sharing; strong selection/self-report caveat"
I13,"介護事業所におけるデータ連携による生産性向上に関する調査研究等一式 報告書",2024,Japan,"Official implementation study","Interoperability / network effect","https://www.mhlw.go.jp/content/12300000/R5_ICT_houkokusyo.pdf","Small-sample implementation study; paper/FAX burden remains; value depends on partner adoption; low diffusion can reduce benefits"
I14,"Swaying Information About Care: Information-Sharing Challenges in Transitional Care of Older Adults in Japan",2026,Japan,"Mixed exploratory research","Person-specific information structure","https://link.springer.com/article/10.1007/s10823-026-09563-2","Shows structural gaps between medical, caregiving and QoL information; standardization/search alone cannot solve all information-sharing problems"
I15,"Nursing Home Implementation of Health Information Technology: Review of the Literature Finds Inadequate Investment in Preparation, Infrastructure, and Training",2018,United States,"Literature review","Workflow redesign / implementation","https://pmc.ncbi.nlm.nih.gov/articles/PMC6050994/","Mixed workflow effects; inadequate infrastructure/support/training; recommends workflow redesign before implementation"
I16,"Staff experiences within the implementation of computer-based nursing records in residential aged care facilities",2014,International,"Systematic qualitative review","Benefit vs burden","https://pmc.ncbi.nlm.nih.gov/articles/PMC4114165/","Electronic documentation can be benefit or burden depending on workflow fit, usability and implementation conditions"
I17,"Magic Notes — Newcastle City Council Algorithmic Transparency Record",2025,England,"Official algorithmic transparency record","GenAI documentation governance","https://www.gov.uk/algorithmic-transparency-records/newcastle-city-council-magic-notes","Daily ASC use; draft transcript/summary, mandatory practitioner review, SSO/MFA, limited retention, no automated decisions"
I18,"A comprehensive evaluation of large language models for information extraction from unstructured electronic health records in residential aged care",2025,Australia,"Peer-reviewed technical evaluation","LLM extraction from aged-care notes","https://pubmed.ncbi.nlm.nih.gov/40886641/","Residential-aged-care-specific LLM evaluation; emphasizes robustness, bias and contextual relevance beyond simple accuracy"
I19,"The use of large language models in clinical documentation: A scoping review",2026,International,"Scoping review","GenAI documentation evidence","https://pubmed.ncbi.nlm.nih.gov/41512731/","Broader clinical-documentation evidence base; useful comparator but not LTC-specific"
I20,"Data Quality of Resident Documentation in Long-Term Care: A Systematic Review and Meta-analysis",2025,International,"Systematic review/meta-analysis","Documentation quality","https://pubmed.ncbi.nlm.nih.gov/40024615/","Shows resident documentation quality itself is an evidence topic; source hygiene and documentation quality matter before downstream AI"
